Наименование аккредитационного органа, выдавшего свидетельство о государственной аккредитации;Полное наименование, местонахождение организации, имеющей свидетельство о государственной аккредитации  ;Местонахождение юридического лица;Геоданные;Режим работы;Государственный регистрационный номер записи о создании юридического лица;Идентификационный номер налогоплательщика-организации, имеющей свидетельство о государственной аккредитации;Дата принятия решения о государственной аккредитации;Реквизиты свидетельства о государственной аккредитации;Срок окончания свидетельства о государственной аккредитации;Перечень аккредитованных образовательных программ, укрупненных групп направлений подготовки и специальностей;Основание и дата переоформления свидетельства о государственной аккредитации;Основание и даты приостановлении и  возобновлении действия свидетельства о государственной аккредитации;Основание и дата лишения свидетельства о государственной аккредитации ;Основание и дата прекращения действия  свидетельства о государственной аккредитации ;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа имени Н.П.Пухова», с.Утёшево Бабынинского района Калужской области;249223, Калужская область, Бабынинский район, с.Утешёво;"широта 54.5168818
долгота 35.68979430000002
";"понедельник-пятница; 09:00 - 18:00; выходной: суббота, воскресенье";1024000515384;4001005312;17.12.2014;рег.№88 от 17.12.2014 серия 40А01 №0000191; 17.12.2026;"начальное общее образование
основное общее образование
среднее общее образование ";01.04.2016- переоформление приложения;;;;;;;
министерство образования и науки Калужской области;муниципальное казённое общеобразовательное учреждение «Средняя общеобразовательная школа №1» с. Бабынино Бабынинского района Калужской области;249210, Калужская область, Бабынинский район, с. Бабынино, ул. Центральная д. 42;"широта 54.4691208
долгота 36.043680600000016
";"понедельник-пятница; 08:00 - 17:00; выходной: суббота, воскресенье";10240000514890;4001005369;18.04.2014;рег.№44 от 18.04.2014 серия 40А01 №000161;18.04.2016;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;муниципальное казённое  общеобразовательное учреждение «Средняя общеобразовательная школа» с.Муромцево Бабынинского района Калужской области;249217, Калужская область, Бабынинский район, с. Муромцево, д.2;"широта 54.5079655
долгота 35.95152380000002
";"понедельник-пятница; 08:30 - 17:00; выходной: суббота, воскресенье";1024000515714;4001005337;" 08.02.2016
";" рег. №21 от 08.02.2016 серия 40А01 №0000403
";08.02.2028;"начальное общее образование
основное общее образование
среднее общее образование ";"
";;;;;;;
министерство образования и науки Калужской области;муниципальное казенное общеобразовательное учреждение «Средняя общеобразовательная школа» п. Газопровод Бабынинского района Калужской области;249215, Калужская область, Бабынинский район, п. Газопровод, ул. Ленина, д. 11 б;"широта 54.4397483
долгота 35.58791129999997
";"понедельник-пятница; 08:00 - 17:00; выходной: суббота, воскресенье";1024000514669;4001005288;03.12.2014;рег.№81 от 03.12.2014 серия 40А01 №0000186;03.12.2026;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;Муниципальное казенное общеобразовательное учреждение «Средняя общеобразовательная школа №1» п. Воротынск Бабынинского района Калужской области;249200, Калужская область, Бабынинский район, п. Воротынск, ул. 50 лет Победы , д. 10;"широта 54.48075799999999
долгота 36.05559530000005";"  понедельник-пятница; 08:00 - 20:00; выходной: суббота, воскресенье";1024000515571;4001005182;"
11.05.2011 
";"
рег. №15 от 11.05.2011 серия ОП    003218
";11.05.2023;"начальное общее образование
основное общее образование
среднее общее образование ";"
рег. №15 от 11.05.2011 серия ОП    003218, рег.№ 10 от 30.01.2012 серия ОП № 003357-переоформление, рег.№105 от 05.09.2016 серия 40А01 №0000478 - переоформление
";;;;;;;
министерство образования и науки Калужской области;муниципальное казенное общеобразовательное учреждение «Средняя общеобразовательная школа № 2 им. И.С. Унковского» п. Воротынск Бабынинского района Калужской области;249200, Калужская область, Бабынинский район,  поселок Воротынск , ул.Школьная, дом 21;"широта 54.4727286
долгота 36.039351200000055";"понедельник-пятница; 08:30 - 17:00; выходной: суббота, воскресенье";1024000515582;4001005270; 11.05.2011 ;рег.№22(7)  от 11.05.2011 серия ОП 003225;11.05.2023;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№ 87 от 12.04.2012 серия ОП № 003453-переоформление, рег.№125 от 08.11.2016 серия 40А01 №0000496 - переоформление;;;;;;;
министерство образования и науки Калужской области;Муниципальное общеобразовательное учреждение «Средняя общеобразовательная школа №2» п. Бабынино Бабынинского района Калужской области;"249210, Калужская область, Бабынинский район, п. Бабынино, ул. Центральная, д. 21
";"широта 54.3913486
долгота 35.73486690000004";"понедельник-пятница; 09:00 - 18:00; выходной: суббота, воскресенье";1024000514801;4001003097;08.02.2016;" рег. №22 от 08.02.2016 серия 40А01 №0000404
";08.02.2028;"начальное общее образование
основное общее образование
среднее общее образование ";"
";;;;;;;
министерство образования и науки Калужской области;муниципальное казенное общеобразовательное учреждение «Основная общеобразовательная школа» с.Вязовна Бабынинского района Калужской области;249223, Калужская область, Бабынинский район, с.Вязовна, д.85;"широта 54.4896165
долгота 35.66346939999994";"понедельник-пятница; 08:00 - 16:00; выходной: суббота, воскресенье";1024000516099;4001005658;18.04.2014;рег.№43 от 18.04.2014 серия 40А01 №0000160;18.04.2026;"начальное общее образование
основное общее образование
";;;;;;;;
министерство образования и науки Калужской области;муниципальное казенное общеобразовательное учреждение «Основная общеобразовательная школа» с.Куракино Бабынинского района Калужской области;249222, Калужская область, Бабынинский район, с. Куракино, д.9;"широта 54. 50454449999999
долгота 35.802433199999996";"  пондельник-пятница; 08:00-17:00;
выходной: суббота, воскресенье";1024000514757;4001005190;  04.05.2012 ;  рег.№ 139 от 04.05.2012 серия ОП № 003508;04.05.2024;"начальное общее образование
основное общее образование
";рег.№126 от 09.11.2016 серия 40А01 №0000497 - переоформление;;;;;;;
министерство образования и науки Калужской области;муниципальное казённое общеобразовательное учреждение «Асмоловская средняя общеобразовательная школа»;249665, Калужская область, Барятинский район, деревня Асмолово, улица Мира, дом 16;"широта 54.2193208
долгота 34.65459740000006";"понедельник-пятница: 08:45 - 15:10; выходной: суббота, воскресенье";1024000765073;4002002392;08.04.2015;рег.№76 от 08.04.2015 серия 40А01 №0000277;08.04.2027;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение «Барятинская средняя общеобразовательная школа»;249650, Калужская область, Барятинский район, село Барятино, улица Болдина, дом 3;"широта 54.31560529999999
долгота 34.527619200000004";"понедельник-пятница: 08:00 - 21:00; выходной: суббота, воскресенье";1024000765007;4002002339;05.03.2014;рег.№23 от 05.03.2014 серия 40А01 №0000140;05.03.2026;"начальное общее образование
основное общее образование
среднее общее образование ";рег.№42 от 11.03.2015 серия 40А01 №0000242-переоформление;;;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение «Китежская средняя общеобразовательная школа»;249650, Калужская область, Барятинский район, деревня Чумазово, улица Китежская, дом 5;"широта 54.3847767
долгота 34.472908200000006";"понедельник-пятница: 08:30 - 17:00; выходной: суббота, воскресенье";1024000765029;4002002307;03.02.2015;рег.№8 от 03.02.2015 серия 40А01 №0000209;03.02.2027;"начальное общее образование
основное общее образование
среднее общее образование ";;;;;;;;
министерство образования и науки Калужской области;Муниципальное казённое общеобразовательное учреждение «Бахмутовская основная общеобразовательная школа»;249640, Калужская область, Барятинский район, деревня Бахмутово, ул. Молодёжная, дом 2;"широта 54.3478795
долгота 34.30740019999996";"понедельник-пятница: 08:30 - 15:00; выходной: суббота, воскресенье";1024000765030;4002002280;11.05.2011;"рег. № 31 
от 11.05.2011 серия ОП 003234";11.05.2023;"начальное общее образование
основное общее образование
"; рег.№88 от 14.04.2015 серия 40А01 №0000289-переоформление ;;;;;;;
